throughput,max_rate
0.0,30.0
0.0,30.0
0.046368,30.0
0.001856,30.0
0.0,30.0
0.218912,30.0
0.305808,30.0
0.216928,30.0
0.342112,30.0
3.186128,30.0
0.47376,30.0
1.37488,30.0
0.286192,30.0
0.243328,30.0
18.777584,30.0
30.474064,30.0
59.993424,60.0
55.796368,60.0
40.380672,60.0
43.964352,60.0
44.63672,60.0
48.500768,60.0
47.871008,60.0
46.088016,60.0
44.77968,60.0
47.326752,60.0
49.674592,60.0
51.346096,60.0
46.937808,60.0
48.882192,60.0
52.6084,60.0
50.472224,60.0
48.272016,60.0
48.12656,60.0
46.976864,60.0
37.474576,60.0
1.284672,60.0
0.0,30.0
0.0,30.0
0.0,30.0
0.0,30.0
1.689712,30.0
13.824384,30.0
15.513568,30.0
17.245168,30.0
15.179024,30.0
16.372832,30.0
15.082304,30.0
16.300592,30.0
15.540352,30.0
15.579008,30.0
16.00032,30.0
15.947984,30.0
15.155776,30.0
15.887136,30.0
15.78816,30.0
14.947024,30.0
14.870032,30.0
15.028128,30.0
15.555824,30.0
15.650864,30.0
15.22208,30.0
4.663552,30.0
0.24392,30.0
0.89744,30.0
0.103136,30.0
0.37656,30.0
